subject_id,tpd_pre,tpd_anti_shia_pre,tpd_post,tpd_anti_shia_post,week_pre,week_anti_shia_pre,week_post,week_anti_shia_post,two_weeks_pre,two_weeks_anti_shia_pre,two_weeks_post,two_weeks_anti_shia_post,month_pre,month_anti_shia_pre,month_post,month_anti_shia_post,treatment_date,treatment_num,treatment_text,followers_count,anti_shia_friends_count,loc_qual,gcc,yemen,iraq,syria,conflict
69,31,1,37,0,67,2,85,0,98,2,126,0,154,2,263,0,2/1/18,5,هذا الكلام الطائفي يزرع الفتنة.,134,5,Saudi,TRUE,FALSE,FALSE,FALSE,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,2/1/18,0,NA,1019,538,Saudi,TRUE,FALSE,FALSE,FALSE,0
71,33,0,27,0,72,0,74,0,155,0,204,1,237,0,416,1,2/1/18,0,NA,907,44,Saudi,TRUE,FALSE,FALSE,FALSE,0
72,0,0,0,0,0,0,1,1,0,0,23,5,4,0,40,4,2/1/18,5,هذا الكلام الطائفي يزرع الفتنة.,639,84,GCC,TRUE,FALSE,FALSE,FALSE,0
73,10,0,21,0,30,2,37,0,66,2,58,0,250,9,111,2,2/1/18,0,NA,3028,496,GCC,TRUE,FALSE,FALSE,FALSE,0
74,2,1,15,0,3,1,33,3,25,2,62,3,79,2,NA,NA,2/1/18,0,NA,2678,1,NA,FALSE,FALSE,FALSE,FALSE,0
75,5,0,13,0,18,0,40,2,45,0,82,4,48,0,41,11,2/1/18,1,هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,50,1,Turkey,FALSE,FALSE,FALSE,FALSE,0
76,40,2,38,1,208,9,196,5,176,9,239,14,508,9,539,20,2/1/18,5,هذا الكلام الطائفي يزرع الفتنة.,708,216,Saudi,TRUE,FALSE,FALSE,FALSE,0
77,1,0,4,0,3,1,12,2,14,1,19,2,49,7,30,2,2/1/18,1,هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,523,179,Saudi,TRUE,FALSE,FALSE,FALSE,0
78,0,0,1,0,4,0,1,0,3,0,4,0,3,1,NA,NA,2/1/18,3,يقول عدد كبير من الزعماء السياسيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,671,1,NA,FALSE,FALSE,FALSE,FALSE,0
79,1,0,0,0,1,0,1,0,1,0,1,0,5,0,1,0,2/1/18,5,هذا الكلام الطائفي يزرع الفتنة.,31,14,Saudi,TRUE,FALSE,FALSE,FALSE,0
80,2,1,9,0,24,1,52,0,85,4,74,1,271,5,226,0,2/1/18,4,يقول عدد كبير من الزعماء الدينيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,44,74,Saudi,TRUE,FALSE,FALSE,FALSE,0
81,35,1,80,3,163,2,165,7,322,1,255,4,746,1,560,5,2/1/18,5,هذا الكلام الطائفي يزرع الفتنة.,315,81,GCC,TRUE,FALSE,FALSE,FALSE,0
82,6,2,1,0,20,5,9,0,38,4,21,0,98,5,NA,NA,2/1/18,4,يقول عدد كبير من الزعماء الدينيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,2941,2,Yemen,FALSE,TRUE,FALSE,FALSE,1
83,28,7,13,6,77,27,165,59,139,56,419,162,244,92,991,385,2/1/18,2,هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,236,1,Saudi,TRUE,FALSE,FALSE,FALSE,0
84,25,0,52,0,25,0,58,0,25,0,58,0,25,0,58,0,2/1/18,1,هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,1046,1,GCC,TRUE,FALSE,FALSE,FALSE,0
85,5,2,3,0,16,3,16,0,26,5,51,0,78,13,134,8,2/1/18,4,يقول عدد كبير من الزعماء الدينيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,637,248,Saudi,TRUE,FALSE,FALSE,FALSE,0
86,0,0,0,0,0,0,0,0,0,0,213,2,0,0,440,7,2/1/18,1,هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,155,11,Saudi,TRUE,FALSE,FALSE,FALSE,0
87,15,0,25,2,54,1,57,3,107,2,73,3,111,2,82,3,2/1/18,3,يقول عدد كبير من الزعماء السياسيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,16,32,Yemen,FALSE,TRUE,FALSE,FALSE,1
88,5,0,4,0,10,0,12,0,13,0,10,0,22,0,37,0,2/1/18,3,يقول عدد كبير من الزعماء السياسيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,1822,64,Saudi,TRUE,FALSE,FALSE,FALSE,0
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/1/18,5,هذا الكلام الطائفي يزرع الفتنة.,468,30,GCC,TRUE,FALSE,FALSE,FALSE,0
90,15,0,0,0,35,0,28,0,54,0,76,0,202,1,155,0,2/1/18,1,هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,646,109,Saudi,TRUE,FALSE,FALSE,FALSE,0
91,52,0,13,2,121,0,89,2,229,0,222,3,384,1,291,5,2/1/18,3,يقول عدد كبير من الزعماء السياسيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,77,88,Saudi,TRUE,FALSE,FALSE,FALSE,0
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,6,2/1/18,2,هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,5033,816,Saudi,TRUE,FALSE,FALSE,FALSE,0
93,14,2,23,1,54,5,35,1,87,5,65,1,132,8,NA,NA,2/1/18,4,يقول عدد كبير من الزعماء الدينيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,49,10,Saudi,TRUE,FALSE,FALSE,FALSE,0
94,0,0,81,2,0,0,318,12,0,0,358,13,0,0,358,13,2/1/18,1,هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,395,354,Yemen,FALSE,TRUE,FALSE,FALSE,1
95,0,0,1,0,1,0,9,2,4,0,21,3,20,2,30,3,2/1/18,1,هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,385,148,GCC,TRUE,FALSE,FALSE,FALSE,0
96,0,0,0,0,0,0,4,0,0,0,16,0,0,0,20,0,2/1/18,2,هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,561,200,Yemen,FALSE,TRUE,FALSE,FALSE,1
97,0,0,0,0,4,0,5,0,7,0,8,0,26,1,17,0,2/2/18,5,هذا الكلام الطائفي يزرع الفتنة.,113,10,Saudi,TRUE,FALSE,FALSE,FALSE,0
98,32,2,39,0,50,1,29,3,54,0,32,0,82,4,92,2,2/2/18,4,يقول عدد كبير من الزعماء الدينيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,2333,45,Saudi,TRUE,FALSE,FALSE,FALSE,0
99,0,0,2,0,5,0,6,0,3,0,5,0,12,0,16,4,2/2/18,5,هذا الكلام الطائفي يزرع الفتنة.,1471,191,Saudi,TRUE,FALSE,FALSE,FALSE,0
100,11,1,24,0,21,2,48,2,51,3,45,5,153,9,186,6,2/2/18,1,هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,2316,392,Saudi,TRUE,FALSE,FALSE,FALSE,0
101,7,0,6,0,15,0,26,1,27,0,51,2,98,0,131,3,2/2/18,0,NA,1389,57,GCC,TRUE,FALSE,FALSE,FALSE,0
102,4,1,4,0,17,2,8,0,56,4,13,0,78,4,44,0,2/2/18,4,يقول عدد كبير من الزعماء الدينيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,163,144,Algeria,FALSE,FALSE,FALSE,FALSE,0
103,7,0,2,0,10,0,10,1,21,1,9,6,32,2,39,8,2/2/18,2,هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,52,27,Syria,FALSE,FALSE,FALSE,TRUE,1
104,22,1,19,0,102,1,74,0,104,1,132,2,176,1,253,2,2/2/18,3,يقول عدد كبير من الزعماء السياسيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,2141,32,Saudi,TRUE,FALSE,FALSE,FALSE,0
105,58,0,78,0,407,1,235,0,198,1,237,1,798,1,582,4,2/2/18,1,هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,763,199,Iraq,FALSE,FALSE,TRUE,FALSE,1
106,1,0,5,0,17,3,15,1,35,3,40,13,66,10,106,22,2/2/18,2,هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,17,49,Saudi,TRUE,FALSE,FALSE,FALSE,0
107,2,0,14,0,21,3,22,0,17,5,19,5,74,5,82,4,2/2/18,0,NA,2698,95,Yemen,FALSE,TRUE,FALSE,FALSE,1
108,2,1,15,0,13,1,15,3,24,2,14,3,28,5,NA,NA,2/2/18,0,NA,67,54,Saudi,TRUE,FALSE,FALSE,FALSE,0
109,0,0,3,0,4,0,5,0,4,0,3,0,7,0,8,0,2/2/18,0,NA,3481,294,Saudi,TRUE,FALSE,FALSE,FALSE,0
110,59,0,27,4,230,0,136,7,391,1,248,5,542,2,495,9,2/2/18,5,هذا الكلام الطائفي يزرع الفتنة.,1730,155,Saudi,TRUE,FALSE,FALSE,FALSE,0
111,1,0,0,0,2,0,1,0,1,0,3,0,6,0,NA,NA,2/2/18,2,هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,234,7,GCC,TRUE,FALSE,FALSE,FALSE,0
112,0,0,0,0,21,0,34,1,16,0,24,2,54,0,61,3,2/2/18,2,هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,84,13,Qatar,TRUE,FALSE,FALSE,FALSE,0
113,0,0,0,0,12,7,4,0,10,0,9,4,20,0,NA,NA,2/2/18,5,هذا الكلام الطائفي يزرع الفتنة.,1057,68,Yemen,FALSE,TRUE,FALSE,FALSE,1
114,20,1,4,0,52,1,57,2,32,3,26,10,58,35,94,10,2/2/18,0,NA,399,82,Yemen,FALSE,TRUE,FALSE,FALSE,1
115,11,1,3,0,31,3,19,0,25,3,34,0,117,19,133,2,2/2/18,5,هذا الكلام الطائفي يزرع الفتنة.,1180,37,Saudi,TRUE,FALSE,FALSE,FALSE,0
116,136,0,153,0,349,0,378,1,409,0,388,1,770,5,449,4,2/2/18,0,NA,5733,37,GCC,TRUE,FALSE,FALSE,FALSE,0
117,0,0,0,0,2,0,2,0,3,0,4,1,13,2,8,3,2/2/18,2,هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,5,31,Saudi,TRUE,FALSE,FALSE,FALSE,0
118,8,0,3,0,20,0,11,0,45,1,31,1,92,1,70,2,2/2/18,1,هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,360,214,Syria,FALSE,FALSE,FALSE,TRUE,1
119,1,0,0,0,7,0,6,0,14,1,15,0,24,6,18,0,2/2/18,1,هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,111,98,GCC,TRUE,FALSE,FALSE,FALSE,0
120,1,0,0,0,5,0,3,0,4,0,2,0,10,0,12,2,2/2/18,3,يقول عدد كبير من الزعماء السياسيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,19,63,GCC,TRUE,FALSE,FALSE,FALSE,0
121,0,0,1,0,3,0,4,0,1,0,2,0,22,0,34,0,2/2/18,5,هذا الكلام الطائفي يزرع الفتنة.,225,7,Yemen,FALSE,TRUE,FALSE,FALSE,1
122,5,2,13,0,26,3,29,0,19,3,30,0,45,16,70,0,2/2/18,4,يقول عدد كبير من الزعماء الدينيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,44,2,GCC,TRUE,FALSE,FALSE,FALSE,0
123,0,0,0,0,2,0,5,3,10,0,17,10,29,0,NA,NA,2/2/18,5,هذا الكلام الطائفي يزرع الفتنة.,1254,266,Libya,FALSE,FALSE,FALSE,FALSE,0
124,28,1,19,0,60,1,69,0,88,1,93,0,161,1,143,0,2/2/18,1,هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,5205,512,Yemen,FALSE,TRUE,FALSE,FALSE,1
125,7,0,2,0,24,0,17,1,39,0,23,1,64,1,52,1,2/2/18,0,NA,124,103,NA,FALSE,FALSE,FALSE,FALSE,0
126,1,0,0,0,5,0,6,0,1,0,4,0,9,0,12,0,2/2/18,2,هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,6,13,Syria,FALSE,FALSE,FALSE,TRUE,1
127,2,0,0,0,4,0,4,0,8,0,6,0,26,0,25,1,2/2/18,0,NA,374,2,Saudi,TRUE,FALSE,FALSE,FALSE,0
128,2,1,1,0,6,0,6,0,12,3,10,0,32,2,25,1,2/2/18,4,يقول عدد كبير من الزعماء الدينيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,598,637,Saudi,TRUE,FALSE,FALSE,FALSE,0
129,10,0,25,0,32,0,38,0,20,0,19,0,40,0,56,1,2/2/18,2,هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,8248,19,Yemen,FALSE,TRUE,FALSE,FALSE,1
130,0,0,3,0,12,0,31,0,19,0,26,2,54,0,74,5,2/2/18,1,هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,57,12,GCC,TRUE,FALSE,FALSE,FALSE,0
